id;nombre;apellido;dni;telefono
1;vaulting;annual whoever;30625;rapidly oof
2;tension;hefty brazen;12857;dim smarten bah
3;whether;toward;659;apud ouch
4;along;pfft devalue although;6577;versus
5;electrify um yearly;spirituality;4076;uh-huh indeed shrilly
6;made-up provided yowza;aha some vitiate;27719;as
7;compulsion crowded troll;below hastily;28609;eek since rhinoceros
8;sternly meaningfully;uniform phooey;322;sternly before duh
9;longingly minus;creative gosh tune;4883;hmph now upbeat
10;alert forenenst carefree;mmm amid;7464;yahoo
