id;dni;nombre;apellido;motivo;fecha_baneo
1;20119;volunteer geez home;modification;successfully manage;2024-06-11T06:31:25
2;6858;yahoo for voting;throughout off source;interesting;2024-06-11T20:56:42
3;30637;hmph furthermore fantasize;um guilder;well-documented down;2024-06-11T09:53:15
4;18875;although lining er;against;pluralize;2024-06-11T16:12:34
5;7487;disembowel;whether knowledgeably validate;revile about;2024-06-11T19:44:53
6;1778;weekender shameful above;dual dependent;likewise toffee;2024-06-11T05:38:24
7;9225;which;household now;remit;2024-06-11T09:38:11
8;17858;indeed;worth;unfolded;2024-06-11T14:10:40
9;3335;swimming elegant ischemia;stub parka;but;2024-06-11T12:32:06
10;22710;transliterate the;wetly;potentially politely;2024-06-11T02:03:30
