id;fecha;autorizado_dni;autorizado_dni_content_type;autorizado_rostro;autorizado_rostro_content_type;autorizado_id
1;2024-06-11T12:01:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
2;2024-06-11T07:05:44;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
3;2024-06-11T08:42:56;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;3
4;2024-06-11T15:31:16;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;4
5;2024-06-11T12:20:53;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;5
6;2024-06-11T07:44:38;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;6
7;2024-06-11T11:14:46;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;7
8;2024-06-11T01:35:33;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;8
9;2024-06-11T20:16:12;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;9
10;2024-06-11T08:28:08;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;10
